id,config|pretrain_id,config|checkpoint,config|n_finetune,config|finetune_dataset,config|finetune_labels,config|r_max,config|num_layers,config|num_features,config|l_max,config|seed,config|beta,config|ema_decay,config|batch_size,result|train|cell_energy_rmse,result|train|scaled_energy_rmse,result|train|per_atom_energy_rmse,result|train|force_rmse,result|val|cell_energy_rmse,result|val|scaled_energy_rmse,result|val|per_atom_energy_rmse,result|val|force_rmse,result|test|cell_energy_rmse,result|test|scaled_energy_rmse,result|test|per_atom_energy_rmse,result|test|force_rmse,result|num_params,result|best_epoch,result|num_epochs,metadata|timing_marks,metadata|timing|training|start,metadata|timing|training|end,metadata|timing|training|duration,metadata|timing|evaluation|start,metadata|timing|evaluation|end,metadata|timing|evaluation|duration
23.07.04-11.53.14-519382,23.07.04-05.49.45-594905,best,1600,Si-GAP-18,dft,4.0,4,32,1,1,4,0.99,10,1.156047168740446,0.0970057321053915,0.0140430777264298,0.0931519818954973,0.5607503931588133,0.0683283145261099,0.017182712748734,0.0974140326694935,0.9964851692782482,0.0828693739301494,0.0142515597007396,0.0999514485281121,73784,129,130,"[('start', 1688467994.519543), ('end', 1688470184.109907)]",1688467994.572304,1688470059.82742,2065.2551159858704,1688470059.82744,1688470184.109846,124.28240609169006
23.07.04-12.29.44-247189,23.06.28-19.46.50-432517,best,400,Si-GAP-18,dft,4.0,4,32,1,42,4,0.99,10,1.894224909398202,0.1798528175832216,0.0256243551524332,0.1458801024643227,1.454854586109636,0.1733315458646066,0.0289953282633338,0.1278642884214343,1.6214591064323558,0.1612489312388078,0.0272094045354206,0.1466109819693199,73784,295,297,"[('start', 1688470184.247326), ('end', 1688471649.548399)]",1688470184.298673,1688471576.342896,1392.0442230701449,1688471576.34292,1688471649.548354,73.20543384552002
23.07.04-12.54.09-602383,23.06.28-19.46.50-432517,best,800,Si-GAP-18,dft,4.0,4,32,1,42,4,0.99,10,1.4009598287395544,0.129840684331919,0.0202304551038199,0.1214943543212539,0.9949286496843168,0.1237062771657934,0.0244342752301215,0.117700364158149,1.152690829102443,0.1116222466305995,0.0205389123781468,0.130125375428179,73784,270,270,"[('start', 1688471649.60253), ('end', 1688474632.21034)]",1688471649.655428,1688474524.85729,2875.2018620967865,1688474524.85732,1688474632.210272,107.352952003479
23.07.04-13.43.52-266813,23.06.28-19.46.50-432517,best,1600,Si-GAP-18,dft,4.0,4,32,1,42,4,0.99,10,1.2765446607905218,0.1114946300142423,0.0154890529552177,0.0970079684172217,0.6438495022647033,0.079173033772224,0.0184670228029976,0.0999563268526533,0.9918790007176792,0.0873479783153788,0.0156804040381224,0.1044962825010332,73784,231,231,"[('start', 1688474632.266949), ('end', 1688480810.551415)]",1688474632.317383,1688480685.629012,6053.3116290569305,1688480685.629038,1688480810.551367,124.9223289489746
23.07.04-15.26.50-610978,23.06.28-22.39.25-814269,best,25,Si-GAP-18,dft,4.0,4,32,1,42,4,0.99,10,3.584873977804208,0.3457011749828695,0.0417431618410613,0.2074341419088747,7.332373742803707,0.888239236571556,0.1495658483055839,8.360998932809153,7.138181138716013,0.9301627387830904,0.2656915449370543,4.148659134740928,73784,2278,2318,"[('start', 1688480810.611105), ('end', 1688482638.494875)]",1688480810.661553,1688482598.429813,1787.7682600021362,1688482598.429839,1688482638.494811,40.064972162246704
23.07.04-15.57.18-661412,23.06.28-22.39.25-814269,best,50,Si-GAP-18,dft,4.0,4,32,1,42,4,0.99,10,3.5487523683830764,0.3117674635522887,0.035784544925703,0.1994899313047689,3.9166322990531386,0.4408453956828039,0.0796356908624039,1.6287181439333644,4.530233240893254,0.6294261979417136,0.2308500038939361,2.505555102587348,73784,1889,1912,"[('start', 1688482638.6616), ('end', 1688484805.488034)]",1688482638.712272,1688484763.082184,2124.369912147522,1688484763.082205,1688484805.487959,42.40575385093689
23.07.04-16.33.25-658557,23.06.28-22.39.25-814269,best,100,Si-GAP-18,dft,4.0,4,32,1,42,4,0.99,10,3.3611622009234177,0.2937970193116457,0.0365290599033906,0.2002377589464329,2.9827551339615304,0.2989939289682905,0.0495022030328088,0.4775295570379917,3.4511424689267525,0.3104040924324786,0.0538932668319718,0.4747073206158257,73784,1247,1286,"[('start', 1688484805.65874), ('end', 1688487669.147624)]",1688484805.70929,1688487622.406336,2816.6970460414886,1688487622.406357,1688487669.14755,46.74119305610657
23.07.04-17.21.09-313359,23.06.28-22.39.25-814269,best,200,Si-GAP-18,dft,4.0,4,32,1,42,4,0.99,10,3.035934126176413,0.2743101962553955,0.0333403836790335,0.182324468033218,2.174379947810066,0.2356401259002567,0.0371878100123081,0.1918047796715047,2.540210740051553,0.2369434992304162,0.0391481643110988,0.3656708511696652,73784,735,735,"[('start', 1688487669.313518), ('end', 1688491354.914631)]",1688487669.364558,1688491297.103757,3627.739198923111,1688491297.103786,1688491354.914571,57.81078505516052
23.07.04-18.22.34-970949,23.06.28-22.39.25-814269,best,400,Si-GAP-18,dft,4.0,4,32,1,42,4,0.99,10,1.8241794267354945,0.1692719714309113,0.0236338139930112,0.140790025233676,1.360309775879622,0.1625225147271192,0.0276025893923609,0.1282230093627775,1.5350012612664294,0.1488395763123621,0.0244507858037195,0.1441290356713898,73784,552,552,"[('start', 1688491354.971115), ('end', 1688498208.126319)]",1688491355.024135,1688498132.069088,6777.044952869415,1688498132.069114,1688498208.126268,76.0571539402008
23.07.04-20.16.48-185501,23.06.28-22.39.25-814269,best,800,Si-GAP-18,dft,4.0,4,32,1,42,4,0.99,10,1.4098924011170608,0.1317450062792187,0.0209163612377526,0.1224729199180872,1.0681048736392034,0.1310995988525475,0.0246152488439658,0.1178660066349592,1.1848854643011564,0.1158748748236795,0.0215203545256175,0.1279160183453547,73784,418,418,"[('start', 1688498208.18564), ('end', 1688509400.524303)]",1688498208.238975,1688509289.560165,11081.321189880371,1688509289.560195,1688509400.524205,110.96401000022888
23.07.04-23.23.20-582931,23.06.28-22.39.25-814269,best,1600,Si-GAP-18,dft,4.0,4,32,1,42,4,0.99,10,1.5774427424193689,0.1415755523862938,0.0194511585714821,0.118743874340685,0.9806716180353862,0.1206300154545627,0.0223986931981012,0.1105629734827268,1.2336431122889546,0.1144204150324674,0.019073268496888,0.1195052119245702,73784,227,252,"[('start', 1688509400.583091), ('end', 1688523323.669727)]",1688509400.635695,1688523200.487968,13799.852272987366,1688523200.487988,1688523323.669657,123.18166899681091
23.07.05-03.15.23-731704,23.06.29-01.26.15-690272,best,25,Si-GAP-18,dft,4.0,4,32,1,42,4,0.99,10,4.746163830987817,0.4641492587209475,0.0521462528392829,0.2127769770625426,4.620798212378064,0.4620473395642547,0.0884742314639794,1.0322410592041025,5.075470344217057,0.5455017933467584,0.1300516156089761,1.15894479944142,73784,910,910,"[('start', 1688523323.731841), ('end', 1688524459.445962)]",1688523323.784181,1688524419.709351,1095.9251699447632,1688524419.709383,1688524459.445891,39.73650789260864
23.07.05-03.34.19-505573,23.06.29-01.26.15-690272,best,50,Si-GAP-18,dft,4.0,4,32,1,42,4,0.99,10,8.36379358520716,0.7448254717611363,0.0863474823227686,0.496605580366052,6.468616483022908,0.6651705096361611,0.1229901200530098,1.684236077046631,7.2474540403037855,0.7992154785809077,0.1954166908934233,2.313512800879705,73784,192,220,"[('start', 1688524459.505709), ('end', 1688524875.64709)]",1688524459.554337,1688524833.434786,373.88044905662537,1688524833.434809,1688524875.647036,42.21222710609436
23.07.05-03.41.15-703467,23.06.29-01.26.15-690272,best,100,Si-GAP-18,dft,4.0,4,32,1,42,4,0.99,10,2.836708976177097,0.2465048689069647,0.030471243285844,0.1793240445667788,2.498540472603365,0.2534520223355782,0.0441022063760524,0.2214502694298785,3.0194481517551504,0.2715332666719233,0.0405386172352401,0.220206039804122,73784,1250,1250,"[('start', 1688524875.703593), ('end', 1688529199.425521)]",1688524875.753212,1688529152.793671,4277.040458917618,1688529152.7937,1688529199.425452,46.63175201416016
23.07.05-04.53.19-491287,23.06.29-01.26.15-690272,best,200,Si-GAP-18,dft,4.0,4,32,1,42,4,0.99,10,2.262036367669947,0.2015614599778239,0.0255855724706665,0.1547388009506967,1.625315795909438,0.1820031554375295,0.0317757098034787,0.1522207356113557,2.103975854994576,0.1911521515684098,0.027985028903457,0.1706529929976299,73784,776,776,"[('start', 1688529199.491415), ('end', 1688534580.187388)]",1688529199.539688,1688534524.987895,5325.44820690155,1688534524.987921,1688534580.187295,55.199373960495
